,rating,ulasan,label
12,5/5,"Mulai dari check in: jadi kalau dari Jalan Malioboro jalan agak jauh sekitar 20-30 meter, lalu sampai di pintu masuk hotel yang langsung berupa lift (lantai 1), lalu naik ke lantai 8 tempat resepsionis berada. Kalau untuk waktu check-in disini dimulai jam 15.00, jadi mohon disesuaikan waktunya, lumayan nunggu karena kalau biasa hotel pada umumnya waktu check-innya jam 14.00. Terima kasih jika Anda bisa check-in sebelum waktu tersebut. Kemarin cukup banyak tamu yang datang dengan cepat karena kurangnya informasi sebelumnya. Resepsionisnya ramah semua dan pelayanannya bagus. Oh iya disini ada deposit 200rb. Untuk kamar di seluruh bangunan hotel, terowongan menuju kamar & kamarnya sendiri wangi banget, jadi alamnya tenang & santai, ini oke banget?????? Untuk kamar tipe deluxe balkon cukup luas, balkon juga cukup luas, terdapat 2 kursi & 1 meja di balkon. Untuk ruangan dan perlengkapan/perlengkapan di dalam ruangan kondisi sangat baik, pencahayaan juga sangat baik. Untuk kamar tipe ini terdapat mini bar yang berisi makanan ringan & minuman ringan sebagai pelengkap. Untuk kamar mandi kondisinya juga sangat bagus & bersih. Mungkin yang kurang (bagi saya) terkait dengan selang/kran, baik untuk kloset maupun shower, selain lebih memilih menggunakan selang untuk kloset, kran/selang di shower juga penting untuk mengambil air wudhu (bagi yang muslim). Sebenarnya saya melihat banyak review dari tamu tahun-tahun sebelumnya yang mengeluhkan hal yang sama, namun sampai saat ini belum/tidak akan menindaklanjuti. Kembali ke manajemen hotel, oke? Karena hal yang terkesan sepele ini juga bisa menjadi salah satu faktor para tamu dalam menentukan pilihan hotelnya, termasuk saya sebenarnya, hehe... Housekeeping hotel mungkin juga perlu ditingkatkan, terutama mengenai tata rias ruangan, karena beberapa kali setelah pukul 15.00 kamar belum dibersihkan. Ada juga saat sampah tidak dibuang ke tempat sampah. Untuk sarapannya variatif banget, dan rasanya enak, mulai dari menu nasi & menu utama lainnya, buah-buahan, omelet, kue kering, bahkan es krim, dan jangan sampai ketinggalan, selalu ada menu gudeg & pelengkapnya, dan rasanya enak, manisnya pas, dapatnya enak & pedas juga mantap?? Tapi apakah ada minusnya?? karena dari jam 18.00-21.00 Malioboro tutup sementara untuk motor & mobil, jadi sedikit usaha untuk keluar masuk menggunakan kendaraan khususnya taksi online. Secara keseluruhan saya sangat puas menginap disini, walaupun ada beberapa hal yang perlu diperhatikan seperti disebutkan di atas. Semoga kedepannya lebih baik lagi, sukses selalu Aveta Hotel Malioboro terima kasih ??????",Positif
13,5/5,"Pertama kali menginap di Yogyakarta, saya langsung ingin ke hotel Aveta. Tempatnya sangat strategis, di tengah Malioboro. buka lobi hotel langsung ke malioboro. Stafnya sangat ramah. Kamarnya bersih dan luas. Kamar mandinya luas dan lengkap dengan perlengkapan mandi. Saya benar-benar betah berada di kamar hotel ini. Saya minta kue ulang tahun, dan ternyata diberikan. Makanan ringan, minuman, dan buah-buahan di lemari es semuanya gratis. Menu sarapannya juga bervariasi dan rasanya enak. Hotel ini sangat direkomendasikan.",Positif
14,5/5,"Hotelnya bagus, dekat dengan malioboro persis sebelah mall dan banyak penjual makanan khas jogja, sarapannya enak, kamarnya bagus dan pelayanannya juga bagus. Membantu selama menginap sampai check out bersama Kak Silvia, Kak Risa, dan Pak Isah. Pokoknya recomended buat yang mau liburan ke jogja untuk menginap di Hotel Aveta ini",Positif
15,5/5,"Hotelnya sangat-sangat dekat dengan Malioboro. Pelayanan disini juga ramah, murah senyum, makanan di area hotel banyak, mantap, pokoknya resepsionisnya ada di lantai 8, agak unik, pelayanannya bagus, check outnya juga dibantu oleh Kak Risa dan Kak Silvia.",Positif
16,5/5,"Tepat di pinggir jalan Malioboro, sebelah plaza..lokasi mudah dicari dan banyak pilihan tempat berbelanja..walaupun parkirnya tidak terlalu luas,pegawai hotelnya cepat sekali membantu..room servicenya juga cepat membantu..kalau ke Malioboro menginap disini saja...",Positif
17,5/5,"Selamat pagi...staycation 2 hari 2 malam disini...permintaan saya disetujui semua, pelayanannya the best, terbaik, sampai-sampai anak saya bilang bintang 7??Biasanya tiap ke jogja pilihannya hanya no*****, la***** atau hotel r***...Sekarang anak-anak request kalau ke jogja harus menginap di Aveta lagi??Terima kasih Aveta Hotel atas segala pelayanan dan keramahtamahannya????",Positif
18,5/5,"SPESIAL TOP??Kamar tidur n kamar mandi, AC dingin banget??Aminitise lengkap, kopi kurang krimer?? Ambilkan air mineral sendiri di lorong, oke? Minimalkan sampah plastik tapi saya malas, kalau ambil air sendiri di lorong harus bolak-balik ambil air. Semua staf ramah dan membantu. Menu sarapannya cukup variatif dan lengkap. Lupa mengambil foto kamar??",Positif
19,5/5,"Berjalan kaki 10 menit dari stasiun kereta. Hotel di tengah sepanjang perbelanjaan Jln Malioboro. Jelas dan akses mudah ke sisi utara (alun2) dan selatan (tugu). Sahur dan buka puasa diluar ekspektasi, sehat dan enak.",Positif
20,5/5,"Strategis sekali, keluar hotel langsung di jalan Malioboro. Hotelnya nyaman, staf resepsionisnya ramah, sangat membantu, terima kasih Danisha.",Positif
21,5/5,"Hotelnya bagus, nyaman. Lokasi strategis, kalau mau ke malioboro tinggal melangkah buka pintunya, sangat recomended...",Positif
22,1/5,"Listrik padam sampai 20 menit, tidak ada penjelasan dari pihak hotel, pelayanan kurang memuaskan.",Negatif
23,5/5,"Hotelnya nyaman dan bersih, tapi lobi dan resepsionisnya kurang bagus karena termasuk hotel bintang 3. Kamarnya bersih.. Kamar mandinya juga bersih. Saya sangat suka kamar mandi dan kamar tidurnya. Akses menuju hotel agak sulit dan tempat parkir sangat sempit. Sarapannya kurang enak... Sebenarnya... Saya suka hotel ini, mungkin lain kali saya akan kembali lagi ke sini.",Positif
24,5/5,"Kamarnya nyaman, sarapannya enak, pelayanan ramah dari Kak Danisha dan Silvi bikin betah.. wajib berkunjung ke sini kalau ke Maliobro",Positif
25,5/5,"Pertama kali menginap di Aveta bareng keluarga makin seru. dekat jalan malioboro, mau beli oleh-oleh juga dekat banget. resepsionisnya ramah, terima kasih Danisha sudah membantu. Liburan selanjutnya wajib menginap disini lagi",Positif
26,5/5,"Hotelnya wangi banget, pas depan Malioboro, sebelah Plaza Malioboro. Jadi aman banget, gak akan berasa terjebak macet di jalan menuju Malioboro, kalau pagi banyak yang jualan makanan di depan hotel, jadi kalau gak dapat sarapan aman.",Positif
27,5/5,"Lokasi sangat strategis, pelayanan baik ramah, kamar juga sangat bersih. Terima kasihuuuu aveta hotell????",Positif
28,5/5,"Strategis banget, keluar hotel langsung ke Malioboro, kamarnya juga bersih dan luas kalau dilihat dari balkon dan viewnya Malioboro, makanannya juga enak, gudegnya top notch, semua staf yang ditemui juga ramah-ramah, dan terima kasih Kak Silvia, Kak Denisa atas bantuannya dari check in hingga check out. Sampai jumpa lagi??",Positif
29,5/5,"Kesan menginap 3 malam di Aveta D KMR 501 tanggal 2 - 5 Jan'25 sangat-sangat memuaskan, baik dari kamarnya yang bersih, wangi dan nyaman, pelayanannya juga sangat responsif dan solutif.. kalaupun ada masalah tertinggal, pihak hotel sangat membantu sekali untuk pengantaran via ekspedisi sampai ke pintu rumah.. sangat berterima kasih tentunya kepada F.O dan security parkiran MBL yang usahanya luar biasa dalam penanganannya. Kompleksitas parkiran hotelnya relatif kecil, hal ini adalah minus untuk Aveta WLPN. Gudang parkirnya ada di tempat lain tapi jauh jadi kalau harus bolak balik agak repot, yang jelek banget buat satpamnya, bahkan jalan pulang perginya lumayan jauh untuk sampai ke gudang..kalo lokasi hotelnya strategis banget pas di jalan Malioboro dan dekat mall.. Mau cari makan. n oleh-oleh jadi mantap..next ke jogja lagi pasti Aveta jadi hotel pilihan pertama kami",Positif
30,5/5,"terima kasih atas pelayanannya yang sangat baik dan untuk resepsionisnya yang ramah. Terima kasih juga kepada Kak Febi dan Kak Silvi dan Kak Resa, makanannya juga enak, kamarnya juga bersih,",Positif
31,5/5,"Telah mengincar hotel ini selama setahun. Terakhir ke jogja, saya ingin booking kamar disini karena lokasinya sangat strategis. Namun harganya sangat mahal untuk kamar superior sekitar 1 juta++ per malam. Jadi saya datang ke sini lagi tahun ini dan sayangnya harga kamar pada tanggal perjalanan saya agak murah. Saya memesan sebulan sebelumnya untuk 4 kamar. Saya meminta 1 kamar tidur queen, 1 kamar tidur queen+tempat tidur bayi, 2 kamar tidur twin. Stafnya sangat ramah. Kami check in agak terlambat sekitar jam 8 malam dan sangat energik. Pertanyaan dan jawaban yang sama berulang kali tetapi staf tetap tersenyum dan menjawab pertanyaan kami yang berulang-ulang. Terima kasih banyak. Kamarnya luas, superior tapi bisa menampung 3 orang. Menu sarapan yang lezat. Jalan Malioboro berjarak beberapa langkah dari pintu hotel. Sangat dekat. Ingin menginap lagi.",Positif
32,5/5,"Lokasi strategis, sampai langsung disambut petugas ambil alih parkir, pegawai cekatan, ramah, jujur ââon call, customer service titip hp, check in & check out cepat, ruangan luas, luas, bersih, nyaman, menu sarapan enak dan bervariasi, cocok dengan selera Solo kita",Positif
33,5/5,"Datang ke sini karena saya sedang menghadiri pertemuan di ruang pertemuan lantai 8. Kalau pesertanya lebih dari 50 orang, sepertinya ruangannya kurang representatif. Nilai plusnya adalah makanannya enak, tidak hambar. Ditambah lagi karyawannya ramah. Lokasi strategis sebelah Malioboro Plaza",Positif
34,5/5,"Pengalaman menginap yang menyenangkan! Terima kasih kepada Ibu Feby dan Silvi yang telah membantu memudahkan proses check in & check out :) Kamar luas dan nyaman, sarapan enak, dan dekat sekali dengan Malioboro. Akan kembali lagi jika saya mengunjungi Yogyakarta.",Positif
35,5/5,"Akomodasi ini sangat memuaskan, akses pintu yang canggih, checkin dan checkout yang mudah, serta lokasi yang strategis. Sarapannya juga enak. Staf di hotel ini sangat ramah dan membantu selama kami menginap ""Hotel ini sangat bersih, dengan fasilitas yang baik",Positif
36,5/5,"Pertama menginap disini seru banget, kamarnya wangi, luas, ada movie room untuk anak-anak, seru banget, dekat kemana-mana, banyak food center, staff resepsionisnya ramah, saya dapat kamar sesuai permintaan saya, banyak pertanyaan saya yang dijawab dengan sabar, terima kasih mbak Receptionist",Positif
37,5/5,"Nyaman, enak untuk staycation bareng siapa pun, sarapan enak, kasur empuk, fasilitas bagus, mewah, lokasi strategis, keluar hotel bisa langsung jalan kaki ke Malioboro, joss yang utama, next ke Malioboro pasti kesini lagi",Positif
38,5/5,"Hotelnya bersih, dekat sekali dengan Malioboro. Pelayanannya juga ramah terutama mbak risa & danisa.",Positif
39,5/5,"Hotel ini adalah yang terbaik. Saya adalah eksekutif untuk ruangan seluas 32 m2. Kamarnya bersih, ada balkonnya, anak-anak senang. Kolam renang dan area sarapan di lantai 8. Bersih dan enak dipandang?????????",Positif
40,5/5,"Hotelnya bersih, bagus. Pelayanannya juga ramah. Resepsionisnya ada di lantai 8. Lokasi strategis di Malioboro. Keluar hotel langsung akses Malioboro. Pokoknya direkomendasikan. Besok kalau ke jogja wajib menginap disini lagi.",Positif
41,5/5,"Hotel yang selangkah langsung di Jl. Tempat tidur Malioboro nyaman dan bersih. Sarapannya banyak jenisnya, ada mesin es krim, popcorn, dan permen kapas",Positif
42,5/5,"pelayanan prima, makanan enak, fast respon dan tanggung jawab|soal tanggung jawab itu yang terbaik||Ban mobil saya bocor saat valet langsung diganti karena saya tidak membawa ban serep sehingga jadwal saya tetap sesuai jadwal",Positif
43,5/5,"Hotel yang sangat bagus untuk menu sarapan, kamar dan lokasi. kami menginap 2 malam pada 2-4 Februari 2025 di 711. tapi kami punya semprotan dudukan toilet yang posisinya tidak bagus??",Negatif
44,5/5,"Apakah Anda berencana untuk tinggal di sini bulan depan, di mana Anda memarkir mobil atau di mana?",Negatif
45,5/5,"Lokasi di pinggir jalan Malioboro, tepat di samping Malioboro Mall. Kamar dan keseluruhan hotel bersih. Staf hotel sangat ramah dan membantu. Sarapan bervariasi dari makanan tradisional hingga barat. :-)",Positif
46,1/5,"Peraturan hotel jelek, pesan balkon biar bisa merokok ternyata tetap dilarang merokok. Ini adalah pertama kalinya saya menemukan hotel balkon luar ruangan tanpa rokok.",Negatif
47,5/5,Pelayanan di hotel sangat memuaskan. Staf semua sangat ramah dari check in hingga check out. Pengalaman yang sangat menyenangkan selama berada disini.,Positif
48,5/5,"Hotel terdekat ke Malioboro..jalan lurus saja 10 langkah..samping hotel ada mal Malioboro, dekat dengan pasar Beringharjo..Yang jelas kamarnya sangat bersih, fasilitasnya selalu lengkap, pelayanannya bagus banget..lokasi super strategis di Ring 1 Jogjakarta..terima kasih Aveta Hotel..terima kasih atas Hospitality nya selama liburan saya..Tuhan memberkati??",Positif
49,5/5,Lokasi strategis Pelayanan bagus Kru ramah Kamar nyaman Makanan enak... Next kesini lagi,Positif
50,5/5,"Lokasi sangat strategis, pelayanan oke, fast respon. Terima kasih Kak Febby dan Pak Wahyu yang selalu fast respon.. Sampai jumpa lagi",Positif
51,5/5,"Saya menginap 3 malam di Aveta. Lokasinya tepat di jantung Malioboro, keluar hotel langsung disambut Jalan Malioboro. Pertama saya datang dan terbantu dengan baik oleh security ramah yang membawakan koper saya. Proses check-in mudah, kamar bersih nyaman bagus. Kamar mandinya bersih dengan lemari modern. Sarapannya enak, apalagi setiap hari ada menu hangatnya. Staf restoran sangat ramah. Sonfar tidak ada kendala selama menginap disana dan sangat puas. Pokoknya hotel ini recomended banget????",Positif
52,5/5,"Untuk pelayanan yang ramah Sarapannya juga enak, kecuali nasi gorengnya, ada yang belum matang?? Kalau yang lain oke semua, next time ke jogja bakal menginap disini lagi?? Hotelnya depan Malioboro, langsung saja turun ke Malioboro, puas banget?",Positif
53,5/5,"Kamarnya bersih, sarapannya enak dan lokasinya strategis di pusat Malioboro serta stafnya ramah dan sangat membantu, terutama Bu Dewanti yang sudah beberapa kali mencoba memberikan kamar dengan view dan rate terbaik. Terima kasih Aveta, saya akan datang lagi ke Jogjakarta dengan hati yang nyaman.",Positif
54,5/5,"Terima kasih Kak Febby dan Pak Wahyu atas bantuannya....hotelnya strategis di kawasan Malioboro dekat malioboro plaza, hotelnya bersih, rapi dan wangi, fasilitas kolam renangnya juga bagus...recomended banget buat staycation disini",Positif
55,5/5,"Pelayanannya sangat memuaskan dan dekat dengan akses stasiun serta dekat dengan wisata Tamansari, Pasar Bringharjo dan Malioboro, bisa dijadikan hotel biasa bila berkunjung lagi ke jogja, untuk pelayanannya sangat memuaskan, proses checkoutnya cepat dan terima kasih kepada Kak Febi dan Wahyu yang sudah membantu layanan checkout kami",Positif
56,5/5,"Pelayanan sangat baik, rekomendasi ramah, sangat membantu Salam kenal, terima kasih untuk resepsionis Danisha dan Wahyu yang sangat ramah",Positif
57,1/5,"Saya merasa pihak hotel mempermainkan pelayanannya yang tidak profesional, awalnya kami akan berlibur ke jogja kemudian kami memesan hotel selama 2 hari pada tanggal 27-29 Nov 24 melalui Traveloka. Kami memilih hotel dengan akses mudah ke mana-mana. Setelah sampai di hotel sekitar jam 15.00, di resi tertulis kalau voucher hotel belum keluar, kami disuruh menunggu, padahal sudah punya bukti/issuenya, tapi tetap harus menunggu pihak hotel menerima voucher dari Traveloka, sebelumnya kami tidak pernah mengalami kendala dalam menggunakan Traveloka. Aman liburan ke luar negeri pakai Traveloka, akhirnya saya telpon Traveloka kalau tidak bisa masuk kamar karena vouchernya belum terbentuk, akhirnya kita tetap disuruh menunggu sampai jam 19.00, akhirnya kita bisa masuk kamar tapi pihak hotel meminta kita membayar karena kita sudah batalkan lewat Traveloka padahal tidak ada notifikasi sama sekali dari Traveloka mengenai pembatalan tersebut, sampai di kamar kita buka email dan ternyata jam 16.00 voucher hotel sudah terbentuk lalu kita Dikonfirmasi lagi ke Traveloka disuruh bayar cash, akhirnya Traveloka kirim email dan telpon juga sampai jam 23.00 semua sudah clear, besok paginya kita sarapan dan tidak ada pemberitahuan, koper kita tinggalkan karena harus downgrade kamar, kita ikut-ikutan, akhirnya kita berangkat dulu untuk ziarah ke Sendangsono, sesampainya di hotel jam 19.00 kita diinformasikan oleh petugas hotel yang sudah ganti bahwa kita tidak bisa menginap sebelum membayar pembayaran kemarin. malam...Kami memutuskan untuk pindah hotel dan membayar untuk satu malam kemarin, ternyata pelayanannya tidak terlalu profesional dan KAMI SANGAT KECEWA HANYA MENGINAP 2 MALAM KAMI BERBAHAYA, KAMI TIDAK AKAN PERNAH DATANG LAGI KE HOTEL AVETA DAN TIDAK AKAN MEREKOMENDASIKAN HOTEL INI KEPADA SIAPA PUN",Negatif
58,5/5,"Kamar dan fasilitasnya bagus, terletak di kawasan tersibuk Malioboro. Menu sarapannya cukup enak dan saya juga menikmati restoran di lantai bawah. Sangat direkomendasikan!",Positif
59,5/5,"Pelayanan cukup, cuma kamar mandinya tidak pakai bidet",Positif
60,2/5,"Tadinya kukira bakal buka pintu lobi langsung di Jl Malioboro, tapi ternyata harus masuk gang dulu. Setelah 15 jam kami masih belum bisa check in, kamar belum siap. Layanan harus sepadan dengan harganya",Positif
61,5/5,"Lokasi sangat strategis di Malioboro, harga per kamar terjangkau. Pelayanannya ramah dan cepat, hanya sayang Wi-Fi mati terus, Netflix atau YouTube belum ada. Selain itu semuanya baik-baik saja!",Positif
62,1/5,Saya dapat kamar yang sambungan suara dari orang sebelah tidak kedap suara sama sekali.. kedengarannya jelas seperti kita berada di ruangan yang sama..... suara orang disebelah terdengar sangat keras..,Negatif
63,5/5,"Kamar cukup bagus dan luas, ada 2 bed besar, ada snack gratis, mesin kopi, kamar mandi cukup luas dan perlengkapan mandi oke",Positif
64,5/5,"Saya baru sekali menginap disini, lokasinya strategis banget karena di tengah Malioboro. Sarapannya enak, stafnya ramah.",Positif
65,5/5,"Lokasi tepat di sebelah Mall Mailoboro dan sangat strategis untuk bisa jalan jalan di sekitar Jalan Malioboro.. hotel nyaman, makanan enak",Positif
66,5/5,"Hotel Aveta pelayanannya baik, kamarnya juga bersih, Anda bisa langsung keluar hotel di dua jalan di Malioboro",Positif
67,5/5,Lokasi hotel tepat di tengah Malioboro jadi pasti bagus untuk berjalan-jalan. namun lokasi parkir mobil agak sulit,Positif
68,5/5,"Pelayanan ramah, murah senyum, kamar nyaman dan wangi, pertama kali kesini rasanya menyenangkan banget",Positif
69,5/5,"Saya sudah berkali-kali ke Malioboro Jogja, tapi baru pertama kali menginap di hotel ini. Lumayan bagus menurut hotel bintang 3. Kamarnya luas jadi salat di kamar cukup nyaman. Kamar mandinya cukup bagus sesuai standar hotel. Terdapat 2 kursi, 1 kursi biasa dan 1 kursi untuk berbaring. Cuma untuk air mineralnya tidak dalam kemasan tapi harus ambil dari dispenser yang ada di koridor hotel.",Positif
70,5/5,"Tempatnya sangat strategis, nyaman sekali, bersih, pelayanannya bagus, cocok untuk liburan apalagi bawa anak kecil, jadi tidak repot kalau jalan jauh ke Malioboro.",Positif
71,4/5,"Kamarnya luas, banyak cermin & cahayanya sekarang lebih terang, tidak redup. Pelengkapnya sungguh menyenangkan! Sekarang pelayanannya lebih baik, lebih responsif. Kamar mandinya sekarang bagus banget, sekarang ada kran buat wudhunya juga, huhu seneng banget! Penyiram toilet berisiko rusak namun kami dapat membantu Anda memperbaikinya nanti. Harapannya bisa ada bidetnya sehingga ada pilihan untuk bisa membersihkan lebih bersih lagi. TVnya sudah diupgrade, WiFinya juga stabil jadi nyaman digunakan (no buffering) Kasurnya besar, selimutnya nyaman, tapi bantalnya masih kurang empuk. Lokasi strategis dari Malioboro, parkir oke, perlu valet untuk membantu satpam memarkirnya. - Kalau bisa ditambah gantungan baju di kamar mandi, karena susah menaruh barang (baju) apalagi kalau di kamar lebih dari 2 orang - semoga kedepannya teh dan kopi bisa diganti terpisah. secara berkala sebelum tamu berikutnya menginap, khawatirkan expnya karena baunya berbeda dari yang seharusnya.",Positif
72,1/5,"Saya baru-baru ini tinggal di hotel ini, dan itu adalah mimpi buruk dari awal hingga akhir. Ruangan itu kotor, dengan jamur di langit-langit kamar mandi, permukaan berdebu, dan aroma buatan yang sangat kuat yang jelas-jelas menutupi kurangnya pembersihan yang benar. Ketika saya mengeluh, manajer meja depan sangat tidak profesional dan meremehkan, bahkan mengejek kekhawatiran saya. Mereka menunjukkan kepada kami kamar alternatif dengan dinding kuning dan kotor dan berjanji untuk mengecat ulang. Hasilnya? Ruangan itu berbau asap cat baru, yang mereka harapkan akan kami terima. Kondisinya tidak hanya tidak menyenangkan tetapi juga sangat tidak sehat, dan sikap manajer meja depan memperburuk keadaan. Karena keluhan saya diabaikan, saya menghubungi Booking.com untuk meminta bantuan, dan meskipun mereka berhasil memberikan kompensasi, manajemen hotel membalas dengan meminta kami check out pada jam 11 malam - sesuatu yang belum pernah saya alami sebelumnya! Akhirnya kami bertahan hingga dini hari, hanya untuk melarikan diri dari tempat mengerikan ini.",Negatif
73,5/5,"Hotel nyaman untuk keluarga karena ada kolam renangnya juga, lokasi strategis, tinggal jalan kaki sepanjang Malioboro...",Positif
74,5/5,"Kami sangat menikmati menghabiskan waktu kami di sini.. pelayanan bagus, kamar bersih, kami bisa check in lebih awal tergantung ketersediaan kamar.. Terima kasih Aveta..",Positif
75,5/5,"Hotel nyaman, tepat di pusat kota Jogja dan ikon Jogja: Malioboro. Tempat menginap yang tepat bagi anda yang ingin berlibur dan menikmati kawasan Malioboro dan sekitarnya. Kamar hotel sangat nyaman, kebersihan hotel juga sangat baik. Umumnya puas dengan layanan ini. Lain kali kesini lagi.",Positif
76,5/5,"Hotel strategis di jalan Malioboro, kamar nyaman, luas, ada kolam renang untuk anak, sarapan enak menu banyak.",Positif
77,5/5,"Senang sekali menginap di hotel ini?? pelayanan super ramah, terima kasih kak Silvia atas bantuannya dari checkin sampai checkout, sangat membantu????",Positif
78,4/5,"Risa Eki Isa ramah banget dan hebat, dengan keamanan parkir mobil, semuanya kan??",Positif
